objectid,name
1429,"PAUL MITCHELL THE SCHOOL-JERSEY SHORE"
143,"STERLING COLLEGE"
1430,"MIDDLE GEORGIA STATE UNIVERSITY"
1431,"PROFESSIONAL SKILLS INSTITUTE"
1432,"RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-NILES"
1433,"SUMNER COLLEGE"
1434,"NORTHWEST COLLEGE-CLACKAMAS"
1435,"NATIONAL UNIVERSITY OF NATURAL MEDICINE"
1436,"PACIFIC NORTHWEST COLLEGE OF ART"
1437,"EMPIRE BEAUTY SCHOOL-YORK"
1438,"STONE ACADEMY-EAST HARTFORD"
1439,"EMPIRE BEAUTY SCHOOL-LANCASTER"
